scenario,iteration,latency_seconds,tokens_per_second,input_tokens,output_tokens,total_tokens,response_length,cpu_percent,memory_used_gb,memory_percent,gpu_utilization,gpu_memory_utilization,gpu_memory_used_gb,gpu_memory_total_gb,gpu_temperature
Short Prompt (Generate),1,24.75411891937256,32.88341639834994,4,814,818,5743,0.5,20.285438537597656,17.0,93.0,0.0,0,0,59.0
Short Prompt (Generate),2,16.323763847351074,34.6121155196499,4,565,569,3904,1.0,20.288795471191406,17.0,93.0,0.0,0,0,60.0
Short Prompt (Generate),3,16.661346435546875,27.728851433898882,4,462,466,3415,0.5,20.28101348876953,17.0,93.0,0.0,0,0,61.0
Short Prompt (Generate),4,19.468286991119385,29.946137544918056,4,583,587,3875,0.5,20.282329559326172,17.0,91.0,0.0,0,0,62.0
Short Prompt (Generate),5,11.8383150100708,33.281763465900845,4,394,398,2915,1.0,20.288570404052734,17.0,93.0,0.0,0,0,62.0
Medium Prompt (Generate),1,21.7753324508667,34.67226053625416,13,755,768,4981,1.5,20.30752182006836,17.0,94.0,0.0,0,0,62.0
Medium Prompt (Generate),2,30.68331027030945,29.2667248771051,13,898,911,6216,0.0,20.292835235595703,17.0,93.0,0.0,0,0,66.0
Medium Prompt (Generate),3,21.33997893333435,36.87913668793074,13,787,800,5310,0.0,20.308677673339844,17.0,94.0,0.0,0,0,67.0
Medium Prompt (Generate),4,24.580976963043213,34.010039603263195,13,836,849,5588,0.5,20.294288635253906,17.0,94.0,0.0,0,0,68.0
Medium Prompt (Generate),5,29.621313095092773,32.206539829527166,13,954,967,6624,0.0,20.293190002441406,17.0,94.0,0.0,0,0,69.0
Long Prompt (Generate),1,73.81352972984314,26.594040512417745,53,1963,2016,14374,0.0,20.35942840576172,17.0,94.0,0.0,0,0,69.0
Long Prompt (Generate),2,107.22343683242798,26.775862486919586,53,2871,2924,22139,0.5,20.37161636352539,17.0,94.0,0.0,0,0,74.0
Long Prompt (Generate),3,90.24498152732849,24.411329724001053,53,2203,2256,15457,0.0,20.374401092529297,17.0,94.0,0.0,0,0,76.0
Long Prompt (Generate),4,83.45802211761475,24.14387435590463,53,2015,2068,15773,0.5,20.35675048828125,17.0,94.0,0.0,0,0,76.0
Long Prompt (Generate),5,94.3661527633667,24.19299646267098,53,2283,2336,17734,0.0,20.371952056884766,17.0,91.0,0.0,0,0,77.0
Chat API,1,27.901862382888794,33.83286703395545,13,944,957,6358,0.5,20.224102020263672,16.9,93.0,0.0,0,0,68.0
Chat API,2,26.35808801651001,28.64395928593485,13,755,768,5206,0.5,20.22469711303711,16.9,95.0,0.0,0,0,69.0
Chat API,3,38.42201089859009,30.91977676898723,13,1188,1201,8262,1.0,20.235698699951172,16.9,94.0,0.0,0,0,71.0
Chat API,4,26.920347452163696,29.86588495667352,13,804,817,5693,1.0,20.222084045410156,16.9,94.0,0.0,0,0,72.0
Chat API,5,26.541457653045654,30.48061679864695,13,809,822,5720,1.5,20.229862213134766,16.9,94.0,0.0,0,0,72.0
Multi-turn Chat,1,12.168403387069702,35.25524149337955,18,429,447,2786,1.0,20.273014068603516,16.9,92.0,0.0,0,0,65.0
Multi-turn Chat,2,10.61221694946289,22.992368245199643,18,244,262,1480,0.5,20.27741241455078,16.9,94.0,0.0,0,0,67.0
Multi-turn Chat,3,11.353704929351807,37.08040702305228,18,421,439,2711,0.5,20.278331756591797,17.0,94.0,0.0,0,0,68.0
Multi-turn Chat,4,21.602424144744873,32.91297287915541,18,711,729,4724,1.5,20.291236877441406,17.0,94.0,0.0,0,0,69.0
Multi-turn Chat,5,15.408486366271973,30.69736953756611,18,473,491,3124,1.0,20.295177459716797,17.0,93.0,0.0,0,0,70.0
Batch Requests (Sequential),0,11.805940628051758,19.481717488355276,3,230,233,1677,0.0,20.235244750976562,16.9,94.0,0.0,0,0,55.0
Batch Requests (Sequential),0,37.10599327087402,31.719943228790328,3,1177,1180,8339,0.0,20.383026123046875,17.0,93.0,0.0,0,0,62.0
Batch Requests (Sequential),0,16.08237886428833,34.447640157898704,4,554,558,3911,1.5,20.308151245117188,17.0,93.0,0.0,0,0,64.0
Batch Requests (Sequential),0,12.557993173599243,24.605842329140046,3,309,312,2288,0.5,20.309303283691406,17.0,94.0,0.0,0,0,65.0
Batch Requests (Sequential),0,31.97005581855774,33.18730520902371,5,1061,1066,6774,0.5,20.342689514160156,17.0,94.0,0.0,0,0,68.0
